                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66045,                0.90971,                      1,                0.85983,              0.0033275,              0.0033275,              0.0033275
                      2,                0.37685,                0.91422,                      1,                0.83235,              0.0065949,              0.0065949,              0.0065949
                      3,                0.43065,                0.87359,                      1,                0.86635,              0.0097963,              0.0097963,              0.0097963
                      4,                0.52007,                0.86005,                      1,                0.90147,               0.009703,               0.009703,               0.009703
