                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.888,                  3.504,                 1.2088,                 0.0158,                 0.2234,                0.09448,                0.04805,                 1.6678,                 3.4588,                 1.0543,                0.00026,                0.00026,                0.00026
                      2,                 1.6574,                 1.9332,                 1.0727,                0.67653,                0.13494,                0.18615,                0.09457,                 1.5459,                 2.2784,                   1.05,             0.00052475,             0.00052475,             0.00052475
                      3,                 1.5719,                 1.5505,                 1.0514,                0.54738,                0.21136,                0.19387,                0.08879,                 1.5829,                  1.631,                 1.0677,             0.00078416,             0.00078416,             0.00078416
                      4,                  1.538,                 1.4261,                 1.0518,                0.46591,                0.26245,                0.24936,                0.13266,                 1.4721,                 1.6044,                 1.0534,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.486,                 1.3284,                 1.0384,                0.55812,                0.29521,                0.32644,                0.18672,                 1.3808,                 1.3619,                0.99866,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.4472,                 1.2407,                 1.0243,                 0.6817,                 0.3192,                0.33041,                0.18942,                 1.3548,                 1.3293,                 0.9837,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.4044,                 1.1613,                 1.0045,                0.53836,                0.30505,                0.31179,                0.17787,                  1.407,                 1.3326,                0.99764,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.3661,                 1.1007,                 1.0034,                0.57646,                0.37568,                0.38705,                0.21652,                 1.3543,                 1.1589,                0.98039,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.3824,                 1.0763,                0.99671,                0.57371,                 0.3158,                0.35907,                0.19948,                 1.3753,                 1.1789,                0.98698,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.3102,                 1.0493,                0.98251,                0.64815,                0.35241,                0.41743,                0.23451,                 1.3156,                0.99492,                0.97178,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.3095,                 1.0209,                0.97919,                0.64652,                0.35457,                0.44141,                0.25005,                 1.2625,                 1.0714,                 0.9574,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.2882,                0.97659,                0.97035,                 0.7106,                0.36459,                0.47295,                0.25775,                 1.2626,                0.99738,                0.95914,               0.000901,               0.000901,               0.000901
                     13,                 1.3027,                 0.9515,                 0.9802,                0.69629,                0.43167,                0.49333,                0.28009,                 1.2752,                 1.0155,                 0.9612,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.2789,                0.95476,                 0.9747,                0.50643,                0.50391,                0.49609,                0.27866,                 1.2863,                0.95723,                0.95711,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.2776,                0.94112,                0.96384,                0.68774,                0.40878,                0.48589,                0.28006,                 1.2389,                0.95582,                0.95937,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.2257,                0.90641,                0.95857,                0.56278,                0.52515,                0.51703,                0.30093,                  1.223,                0.91783,                0.95685,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.2205,                0.90125,                0.94937,                0.57522,                0.48552,                0.51163,                0.28862,                 1.2188,                0.92019,                0.94252,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.2347,                0.89371,                0.95459,                0.59716,                0.40036,                0.44709,                0.24694,                 1.3429,                0.94854,                0.96474,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.2099,                0.87937,                0.94712,                 0.6554,                0.43539,                0.48936,                0.27763,                 1.2159,                0.88378,                0.95409,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.2157,                0.86177,                0.95006,                0.55191,                0.53797,                0.52293,                0.29706,                 1.2312,                0.84899,                0.95247,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.1756,                0.83358,                0.93855,                0.65088,                0.54519,                0.57345,                0.32092,                 1.1991,                0.81992,                0.95104,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.1629,                0.82805,                0.94425,                 0.6383,                0.52408,                0.53761,                0.31709,                 1.1722,                0.87928,                0.94162,               0.000802,               0.000802,               0.000802
                     23,                 1.1727,                0.82648,                0.93877,                0.61826,                0.55469,                0.57229,                0.31458,                 1.1721,                0.82626,                0.93968,              0.0007921,              0.0007921,              0.0007921
                     24,                   1.17,                0.81987,                0.93495,                0.60211,                0.53292,                0.56079,                0.31638,                 1.1618,                0.80999,                0.93611,              0.0007822,              0.0007822,              0.0007822
